"","State","Year","Month","avg_temp","max_temp","drought_severity","avg_precip","total_fires","total_acres_burned"
"1488","CO",2011,10,47.1,61.3,-0.19,1.66,29,356.15
"1489","CO",2011,11,34.9,48.4,-0.32,0.99,3,3.7
"1490","CO",2011,12,24.4,37,-0.54,0.91,2,2.3
"1491","CO",2012,1,29.4,43,-0.95,0.69,4,85.62
"1492","CO",2012,2,27.4,39.3,-0.89,1.36,2,0.4
"1493","CO",2012,3,41.9,57.2,-2.31,0.45,27,25088.3
"1494","CO",2012,4,48.2,62.8,-3.04,1.38,62,5205.92000000001
"1495","CO",2012,5,55.4,71,-4.15,0.91,75,7908.76000000001
"1496","CO",2012,6,67.9,84.8,-5.67,0.42,186,140483.850000001
"1497","CO",2012,7,70.6,85.6,-6,2.27,374,29738.9499999999
"1498","CO",2012,8,67.7,83.2,-6.75,1.07,195,32415.0599999998
"1499","CO",2012,9,59.5,74.8,-6.46,1.29,81,686.93
"1500","CO",2012,10,46.5,61,-6.29,0.72,76,3849.85
"1501","CO",2012,11,39.4,54.3,-6.73,0.44,14,2471.5
"1502","CO",2012,12,25.9,38.4,-6.28,1.31,2,10.25
"1503","CO",2013,1,22.9,36.7,-6.24,0.91,214,259.36
"1504","CO",2013,2,25.7,38.8,-6.35,0.89,178,1576.24999999999
"1505","CO",2013,3,35,48.8,-6.68,1.07,375,1599.09999999999
"1506","CO",2013,4,39.8,53.5,-6.09,1.67,343,1077.00999999999
"1507","CO",2013,5,52.8,67.2,-6.04,1.55,437,253.689999999998
"1508","CO",2013,6,65.6,82.3,-6.71,0.66,763,18525.6199999999
"1509","CO",2013,7,68.5,82.8,-6.4,2.44,709,22667.7599999993
"1510","CO",2013,8,67,81.1,-5.9,2.24,492,5480.02000000012
"1511","CO",2013,9,60.7,73.7,1.74,3.88,233,1779.56999999998
"1512","CO",2013,10,44.2,57.5,1.99,1.51,71,50294.9499999999
"1513","CO",2013,11,35.2,47.9,1.81,1.15,61,58609.1999999999
"1514","CO",2013,12,23.7,36.6,1.42,0.82,12,7.1
"1515","CO",2014,1,26.4,39.8,1.34,1.18,144,22
"1516","CO",2014,2,27.6,39.4,1.31,1.18,140,34.8
"1517","CO",2014,3,36.3,50.5,0.83,1.15,363,271.349999999999
"1518","CO",2014,4,43.3,57.1,0.43,1.35,380,360.090000000005
"1519","CO",2014,5,52.4,66.3,0.47,2.15,353,116.999999999998
"1520","CO",2014,6,62.5,78,0.18,1.19,441,305.070000000001
"1521","CO",2014,7,68.4,82.6,0.66,2.76,647,1105.33999999999
"1522","CO",2014,8,64.6,78.4,1.26,2.59,334,21025.8699999996
"1523","CO",2014,9,60,74.3,1.64,2.08,237,165.769999999999
"1524","CO",2014,10,49.9,64,-0.28,1.08,101,60.8200000000001
"1525","CO",2014,11,33.4,46.7,0.09,1.12,49,21.9
"1526","CO",2014,12,27.9,39.4,0.29,1.31,9,20.8
"1527","CO",2015,1,29.2,41.1,-0.29,0.65,111,20.4300000000001
"1528","CO",2015,2,32.1,44.9,-0.06,1.35,201,427.419999999999
"1529","CO",2015,3,40.6,54.9,-0.92,0.86,494,2681.90000000005
"1530","CO",2015,4,44.8,58.6,-0.97,1.88,377,632.069999999998
"1531","CO",2015,5,49.8,61.1,2.56,5.3,179,140.735
"1532","CO",2015,6,64.9,79.2,2.71,1.91,324,66.8100000000001
"1533","CO",2015,7,66.6,80.2,3.1,2.37,421,1115.37
"1534","CO",2015,8,66.9,81.8,2.77,1.67,372,3044.30000000003
"1535","CO",2015,9,62.6,77.9,1.82,0.76,326,14373.65
"1536","CO",2015,10,51.4,64.6,1.8,1.82,154,1738.37
"1537","CO",2015,11,34.6,47.5,2.07,1.69,57,18.42
"1538","CO",2015,12,25.8,37.4,2.24,1.47,7,50.15
"1539","CO",2016,1,25.6,38.1,2.13,1.02,144,87.7300000000005
"1540","CO",2016,2,32.4,45.7,1.88,0.85,229,687.669999999999
"1541","CO",2016,3,37.9,52,1.39,1.28,403,951.439999999998
"1542","CO",2016,4,43.7,56.8,1.92,2.74,380,327.369999999998
"1543","CO",2016,5,50.8,64.1,1.93,2.07,350,158.329999999998
"1544","CO",2016,6,66.4,82.3,-0.08,1.35,680,37359.7800000006
"1545","CO",2016,7,69.2,84.4,-0.43,1.64,895,3142.22000000009
"1546","CO",2016,8,64.5,78.7,-0.31,2.07,545,4426.89000000006
"1547","CO",2016,9,59.7,74.6,-0.73,1,385,3041.92000000004
"1548","CO",2016,10,51.8,67.3,-1.54,0.49,291,46117.6700000004
"1549","CO",2016,11,40.2,54,-2.05,0.92,132,329.05
"1550","CO",2016,12,25.2,37.6,0.21,1.65,30,393.85
"1551","CO",2017,1,25.3,36.2,1.01,2.29,232,256.239999999998
"1552","CO",2017,2,35.4,47.9,-0.18,1,453,9025.33000000007
"1553","CO",2017,3,42.5,57.1,-0.98,1.19,882,32497.0699999989
"1554","CO",2017,4,44.3,57.7,0.1,2.17,512,671.639999999996
"1555","CO",2017,5,51.5,65.2,0.73,2.82,459,286.219999999997
"1556","CO",2017,6,64.8,80.7,0.06,0.69,624,527.139999999997
"1557","CO",2017,7,69.4,84.1,0.7,3.05,1017,23705.8199999988
"1558","CO",2017,8,64.7,78.8,0.67,1.87,452,28099.7299999995
"1559","CO",2017,9,59.1,73.1,1.03,1.98,483,5051.94000000009
"1560","CO",2017,10,46.7,61.5,-0.24,0.93,258,7964.99000000005
"1561","CO",2017,11,41.3,54.9,-1.24,0.52,128,410.679999999999
"1562","CO",2017,12,30.1,43.9,-1.94,0.4,64,4242.58000000001
"1563","CO",2018,1,29.7,43.7,-2.4,0.81,261,260.942999999999
"1564","CO",2018,2,28.6,41.4,-2.71,1.13,206,329.943
"1565","CO",2018,3,37.8,52.4,-3.67,0.9,610,15744.9250000001
"1566","CO",2018,4,44,58.5,-3.97,1.37,558,48963.5319999987
"1567","CO",2018,5,57.2,72,-4.63,1.54,489,308.018999999994
"1568","CO",2018,6,66.5,82.9,-5.63,0.98,793,5143.7350000001
"1569","CO",2018,7,70,85.1,-5.97,2.11,927,82712.1800000028
"1570","CO",2018,8,66.2,81,-6.27,1.45,524,18265.3610000001
"1571","CO",2018,9,61.9,77.2,-6.65,0.66,414,37743.2189999991
"1572","CO",2018,10,45,57.1,0.87,2.39,219,51926.6239999994
"1573","CO",2018,11,32.5,45,0.71,0.87,158,333.399999999997
"1574","CO",2018,12,26.6,39.2,0.3,0.75,108,8.82399999999998
"1575","CT",1993,7,72.5,84.3,-1.93,3.09,1,6
"1576","CT",2002,8,71.9,83.1,0.02,3.62,1,0.3
"1577","CT",2007,6,66.6,78,-0.93,3.54,1,0.1
"1578","CT",2008,4,49.6,62,1.92,3.58,1,1300
"1579","CT",2010,1,27,35,1.63,2.94,0,1.9
"1580","CT",2010,2,29.8,36.4,2.05,4.51,0,0.7
"1581","CT",2010,3,43,52.5,3.59,9.95,0,47.85
"1582","CT",2010,4,52,64.4,-1.11,1.7,1,276.8
"1583","CT",2010,5,60.9,73.4,-1.52,2.94,0,18.75
"1584","CT",2010,6,68.9,79.6,-1.68,3.36,0,6.95
"1585","CT",2010,7,75.1,86,-1.91,3.53,0,31.7
"1586","CT",2010,8,71,81.5,-2.12,3.58,0,18.45
"1587","CT",2010,9,65.6,76.2,-2.54,2.62,0,11.9
"1588","CT",2010,10,52.8,62.9,0.32,5.47,0,5.7
"1589","CT",2010,11,41.9,51.1,-0.35,3.38,0,29.76
"1590","CT",2010,12,28.2,35.8,0.22,4.56,0,5.57
"1591","CT",2011,1,23.2,32.4,0.08,3.36,2,0.2
"1592","CT",2011,2,27.1,38.2,0.37,3.84,2,0.6
"1593","CT",2011,3,37,46.2,0.5,4.74,58,56.5
"1594","CT",2011,4,48.9,58.7,0.85,5.52,63,46.1
"1595","CT",2011,5,59.7,69.6,0.9,4.87,33,105.5
"1596","CT",2011,6,66.9,77.3,1.6,6.15,24,9
"1597","CT",2011,7,74.1,85.1,0.82,2.17,20,7.32
"1598","CT",2011,8,70.8,80.6,2.99,11.56,12,4.75
"1599","CT",2011,9,66.4,75.4,3.8,7.78,13,7.41
"1600","CT",2012,1,31.7,40.6,-0.41,2.86,28,6
"1601","CT",2012,2,35,44.5,-1.38,1.09,49,19.05
"1602","CT",2012,3,45.8,56.3,-2.55,1.3,92,281.65
"1603","CT",2012,4,49.7,61.5,-2.82,3,225,177.199999999999
"1604","CT",2012,5,61.6,71.3,-2.78,3.94,50,10.2
"1605","CT",2012,6,66.4,76.9,-2.32,4.3,60,6.6
"1606","CT",2012,7,74.1,84.9,-2.14,3.78,18,4.7
"1607","CT",2012,8,72,82.5,-2.07,3.85,22,4
"1608","CT",2012,9,63.3,73.4,-1.5,5.41,11,3.7
"1609","CT",2012,10,54.7,63.5,-1.14,4.36,11,3.1
"1610","CT",2012,11,39.4,48,-2.01,0.8,4,1
"1611","CT",2012,12,35.9,43.3,-1.6,4.7,1,0.1
"1612","CT",2015,4,47,58.2,-1.89,2.74,0,6
"1613","CT",2015,5,62.7,75.5,-2.87,1.21,0,6.6
"1614","CT",2015,7,72.2,82.7,-2,2.81,0,30
"1615","CT",2015,9,67.8,79.7,-2.72,3.62,0,25
"1616","CT",2016,1,29.7,38.5,-3.61,2.14,19,5.45
"1617","CT",2016,2,32,42.6,-2.46,4.94,18,5.55
"1618","CT",2016,3,43.2,53.6,-3.12,2.16,91,84.15
"1619","CT",2016,4,46.8,58.2,-3.27,2.86,161,251.15
"1620","CT",2016,5,58.4,69.3,-3.24,3.33,53,15.2
"1621","CT",2016,6,67.4,78.9,-3.66,1.78,56,35.35
"1622","CT",2016,7,74.1,85,-3.74,3.32,79,48.2100000000001
"1623","CT",2016,8,73.9,84.5,-3.85,3.7,25,13.45
"1624","CT",2016,9,66.2,76.7,-4.33,1.92,25,13.6
"1625","CT",2016,10,53.5,64.1,-4.12,3.88,27,16.6
"1626","CT",2016,11,43.5,53.7,-4.3,3.24,60,49.15
"1627","CT",2016,12,32.6,41.3,-4.08,3.46,12,4.2
"1628","CT",2017,1,32.7,40.1,-3.72,3.56,13,8.21
"1629","CT",2017,2,34.6,44.4,-3.87,2.14,14,3.73
"1630","CT",2017,3,33.4,42.8,-3.67,3.33,43,50.9
"1631","CT",2017,4,51.8,62.4,-3.31,4.71,88,62.54
"1632","CT",2017,5,56.7,66.4,-2.55,5.35,28,178.69
"1633","CT",2017,6,67,77.9,-2.41,3.54,20,6.26
"1634","CT",2017,7,71.5,81.6,-1.95,4.38,16,4.29
"1635","CT",2017,8,69.1,79.6,-2.18,2.62,12,6.39
"1636","CT",2017,9,66,76.2,-2.63,2.3,27,11.03
"1637","CT",2017,10,58.6,69.6,-1.29,8.26,35,36.88
"1638","CT",2017,11,41,51,-1.93,1.62,24,11.63
"1639","CT",2017,12,28.7,36.1,-2.23,2.29,7,4.86
"1640","CT",2018,2,35.7,44.7,0.87,5.28,4,0.55
"1641","CT",2018,3,36.4,44.5,0.54,3.47,8,10.6
"1642","CT",2018,4,43.4,53.7,1.06,5.39,23,24.85
"1643","CT",2018,5,62.2,73.6,-0.68,2.67,9,2.1
"1644","CT",2018,6,66.4,77,-0.67,3.79,2,0.2
"1645","CT",2018,7,74,84.5,0.36,5.32,7,2.85
"1646","CT",2018,8,74.3,83.4,0.68,5.68,2,0.6
"1647","CT",2018,9,66.1,74.1,1.87,8.56,1,0.25
"1648","CT",2018,10,52.3,61.2,2.24,4.99,1,0.1
"1649","CT",2018,11,39.1,46.5,3.3,8.09,6,0.85
"1650","CT",2018,12,33.8,41.9,3.31,5.06,4,1.6
"1651","DE",1992,4,51.5,62.4,-2.74,1.65,2,121
"1652","DE",1992,5,58.9,69.5,0.26,4.13,1,3
"1653","DE",1994,3,42.8,52.6,3.16,8.36,1,1
"1654","DE",1995,2,32.6,41.8,-1.71,2.3,1,0.1
"1655","DE",1995,3,45.9,56.9,-2.23,2.3,2,2014
"1656","DE",1997,2,40.8,50,-0.43,2.99,1,3
"1657","DE",1997,3,45.5,55.7,-0.12,4.9,2,6.5
"1658","DE",1997,6,69.3,80.2,-0.46,2.66,1,0.1
"1659","DE",1997,7,76.1,86.9,-0.94,2.62,1,15
"1660","DE",1999,3,42.2,52.6,-2.08,4.76,1,7
"1661","DE",2000,3,48.7,59.9,1.54,7.01,1,65
"1662","DE",2001,5,63.2,74.2,-0.79,3.8,1,10.5
"1663","DE",2002,3,46.4,56.9,-3.34,4.77,1,1250
"1664","DE",2004,7,76.1,85.3,2.02,5.85,1,100
"1665","DE",2005,4,54.3,66.1,1.19,3.88,1,160
"1666","DE",2007,7,76.1,86.7,-1.87,2.5,1,0.1
"1667","DE",2007,12,39.2,47.1,-2.87,4.6,1,0.1
"1668","DE",2010,8,77,86.9,-3,3.38,0,3
"1669","DE",2012,4,55,66.8,-3.29,2.71,0,14.85
"1670","DE",2012,6,72.9,84.2,-3.66,2.99,0,8.25
"1671","DE",2012,7,80.9,91.1,-4.11,3.16,0,11.75
"1672","DE",2012,10,59.4,68.8,1.52,8.1,0,5
"1673","DE",2013,3,40.5,49.1,-0.54,3.54,0,1
"1674","DE",2013,4,54.6,65.6,-0.51,3.68,0,6
"1675","DE",2013,6,73.5,83,2.17,9.56,0,12
"1676","DE",2013,7,79.2,87.8,2.71,6.57,0,0.5
"1677","DE",2013,9,66.7,77.7,2.12,1.08,0,0.75
"1678","DE",2014,4,52.9,63.9,2.48,4.4,0,3.5
"1679","DE",2014,5,64.9,75.5,-0.36,3.06,0,1.5
"1680","DE",2015,4,54.2,65.3,-0.22,3.13,6,10
"1681","DE",2015,5,67.9,79.1,-1.21,1.5,2,18
"1682","DE",2015,6,73.6,82.5,1.75,9.01,2,31
"1683","DE",2015,8,75.1,85.6,-0.66,2.81,2,6
"1684","DE",2015,9,72,81.7,-0.99,3.2,4,14.25
"1685","DE",2016,3,49.7,60.2,-1.59,1.73,1,5.5
"1686","DE",2016,4,53.1,64.4,-1.75,2.73,4,33.5
"1687","DE",2016,7,79.6,89,0.91,5.53,1,3
"1688","DE",2016,8,78.6,88.8,0.27,3.03,1,1
"1689","DE",2016,9,72,80.9,2.15,9.98,1,1
"1690","DE",2016,11,49,59.9,-0.73,0.79,1,5
"1691","DE",2017,2,44.4,55,-1.83,1.24,2,1.75
"1692","DE",2017,3,43.8,53.9,-1.47,4.46,3,1.75
"1693","DE",2017,6,73.6,84,0.01,2.32,1,3
"1694","DE",2017,12,36.1,44.8,-1.08,1.05,1,16
"1695","FL",1992,1,56.4,67.5,0.29,3.67,7,650.2
"1696","FL",1992,2,61.6,72.1,0.49,4.1,13,261.3
"1697","FL",1992,3,63.9,75.4,-0.15,3.24,23,2450.2
"1698","FL",1992,4,67.9,79.2,-0.13,2.84,17,1752.6
"1699","FL",1992,5,72.7,85.1,-0.64,1.86,15,7564.6
"1700","FL",1992,6,79.9,89.2,1.48,11.58,4,22.6
"1701","FL",1992,7,82.6,92.6,-0.9,4.75,16,3890.6
"1702","FL",1992,8,80.6,89.7,0.78,9.4,4,26
"1703","FL",1992,9,79.4,88.3,0.24,5.13,1,7.1
"1704","FL",1992,10,70.7,80.8,0.34,3.57,4,33.4
"1705","FL",1992,11,67,76,1.34,4.79,3,20.9
"1706","FL",1992,12,60.6,71.3,0.76,1.25,23,1481.1
"1707","FL",1993,1,63.5,72.6,1.72,6.27,10,220.9
"1708","FL",1993,2,58.1,69.2,1.62,3.23,2,31.4
"1709","FL",1993,3,62.4,73.3,1.96,5.1,7,552
"1710","FL",1993,4,65.9,78.3,-0.11,2.23,7,204.5
"1711","FL",1993,5,73.8,85.1,-0.47,2.52,12,92.9
"1712","FL",1993,6,80.4,91,-1.22,4.61,7,712.500000000001
"1713","FL",1993,7,82.5,92.8,-2.11,5.45,10,989.5
"1714","FL",1993,8,82.2,92.5,-3.08,5.13,8,2260.1
"1715","FL",1993,9,79.9,89.7,-3.37,5.46,4,1135.1
"1716","FL",1993,10,73.2,83.2,0.56,5.99,1,60.5
"1717","FL",1993,11,65.5,75.9,-0.34,1.87,5,5.2
"1718","FL",1993,12,56.2,68.1,-0.58,2.05,7,280.9
"1719","FL",1994,1,56.8,67.5,1.09,5.82,9,279.6
"1720","FL",1994,2,63.8,74.3,-0.45,2.39,11,497.8
"1721","FL",1994,3,66,77.7,-0.52,3.67,21,604.2
"1722","FL",1994,4,72.1,83.3,-0.52,3.38,16,2327
"1723","FL",1994,5,75.7,87.2,-0.92,2.7,21,5050
"1724","FL",1994,6,80.5,89.8,0.55,8.93,8,483.1
"1725","FL",1994,7,80.6,89.9,0.85,7.96,14,3482.9
"1726","FL",1994,8,80.2,89.3,1.41,8.32,7,214.1
"1727","FL",1994,9,78.2,87,1.92,8.2,1,12.7
"1728","FL",1994,11,69.5,79,2.88,3.87,1,2.1
"1729","FL",1994,12,61.8,71.1,2.93,3.37,3,3
"1730","FL",1995,1,56.6,67.8,2.89,3.34,6,435.5
"1731","FL",1995,2,58.9,70.7,2.24,2.13,22,363.5
"1732","FL",1995,3,66.5,77,1.77,3.38,28,1011
"1733","FL",1995,4,70.4,81.7,1.76,3.68,14,337.4
"1734","FL",1995,5,78.3,89.3,1.2,3.38,30,6179.5
"1735","FL",1995,6,79.2,88.8,1.67,8.64,13,547.1
"1736","FL",1995,7,82.2,91.9,1.59,7.48,19,246.1
"1737","FL",1995,8,82.4,91,2.39,9.55,6,31.2
"1738","FL",1995,9,79.9,89,1.84,5.75,6,153.6
"1739","FL",1995,10,75,84,2.97,7.54,4,43.3
"1740","FL",1995,11,62.8,74.5,3,2.62,3,1.9
"1741","FL",1995,12,57.3,68.2,2.52,1.61,5,69.5
"1742","FL",1996,1,56.6,68.8,2.55,3.43,26,630.9
"1743","FL",1996,2,58.7,71.5,1.89,1.99,38,634
"1744","FL",1996,3,60.6,72,2.95,7.21,27,8495.5
"1745","FL",1996,4,67.8,79.8,2.74,3.07,17,232.6
"1746","FL",1996,5,77,87.9,-0.1,3.86,26,6874.7
"1747","FL",1996,6,79.2,89.1,0.17,7.09,6,88.2
"1748","FL",1996,7,82.2,91.5,-0.78,5.19,6,291.3
"1749","FL",1996,8,80.6,90,-0.85,6.92,13,322.8
"1750","FL",1996,9,79.1,88.8,-1.28,5.11,7,130.1
"1751","FL",1996,10,72,81.8,0.82,5.93,2,92.2
"1752","FL",1996,11,64.9,75.9,-0.39,1.12,23,183.4
"1753","FL",1996,12,60,71.6,-0.17,3.04,17,389
"1754","FL",1997,1,59.4,70.8,-0.08,3.08,19,358.6
"1755","FL",1997,2,64.1,75.2,-0.55,2.35,17,362.5
"1756","FL",1997,3,70.5,81.5,-1.21,2.59,34,719.3
"1757","FL",1997,4,68.3,79.6,1.11,6.01,28,914.7
"1758","FL",1997,5,74.8,85.5,0.94,3.53,21,212.1
"1759","FL",1997,6,78.7,88.1,1.07,7.06,6,71.8
"1760","FL",1997,7,81.9,91.7,0.02,7.29,11,405.4
"1761","FL",1997,8,81.5,91.1,-0.27,6.13,13,340.9
"1762","FL",1997,9,79.8,89.7,-0.63,5.53,10,277.2
"1763","FL",1997,10,72.2,82.8,0.05,3.62,9,175.7
"1764","FL",1997,11,63.6,74.2,1.39,5.2,12,232.6
"1765","FL",1997,12,58.9,68.6,3.25,7.26,3,17.1
"1766","FL",1998,1,60.5,70.6,3.48,4.59,7,2.1
"1767","FL",1998,2,60,70.4,4.98,8.44,5,14.6
"1768","FL",1998,3,62.2,73.2,5.28,6.02,17,68.9
"1769","FL",1998,4,69.7,80.9,-0.69,1.22,26,1052.5
"1770","FL",1998,5,77.4,89.4,-1.67,1.79,52,2467.4
"1771","FL",1998,6,84.1,95.7,-3.52,2.23,89,2329
"1772","FL",1998,7,83.6,93.3,-3.75,7.59,96,54136.7999999999
"1773","FL",1998,8,82.7,92.3,-4.17,6.65,17,259
"1774","FL",1998,9,80.3,87.8,-2.26,11.92,6,511
"1775","FL",1998,10,75.2,85.3,-2.79,1.9,8,1101
"1776","FL",1998,11,69.6,79.6,-2.52,3.19,6,48.2
"1777","FL",1998,12,64.6,75,-3.01,1.51,8,314
"1778","FL",1999,1,60.7,72.8,-2.42,4.06,10,62.9
"1779","FL",1999,2,61.9,74.1,-2.94,1.26,17,116.8
"1780","FL",1999,3,62.6,76.2,-3.25,1.69,36,3288.6
"1781","FL",1999,4,72.8,85.2,-3.67,1.62,51,163387
"1782","FL",1999,5,74.6,86.4,-3.46,3.8,58,38146
"1783","FL",1999,6,79.3,88.4,-2.32,9.48,20,73930.1
"1784","FL",1999,7,82.2,91.7,-2.75,5.32,19,362.5
"1785","FL",1999,8,83.1,92.6,-2.73,6.91,35,2428.4
"1786","FL",1999,9,78.9,88.5,-2.4,6.72,9,131.6
"1787","FL",1999,10,73.2,82.6,-1.69,4.86,4,25.5
"1788","FL",1999,11,65.7,77,-1.52,2.15,5,92.8
"1789","FL",1999,12,59,70.3,-1.51,1.82,10,86.9
"1790","FL",2000,1,58.4,70.4,-1.56,2.21,16,103
"1791","FL",2000,2,60.5,73.4,-2.19,1.08,29,343
"1792","FL",2000,3,67.6,80,-2.55,2.56,24,9524.4
"1793","FL",2000,4,68.1,81.1,-2.59,2.1,29,16951.1
"1794","FL",2000,5,77.3,89.7,-3.61,0.91,62,10179.5
"1795","FL",2000,6,80.5,91.4,-3.96,5.72,83,3854.8
"1796","FL",2000,7,82.3,92.5,-4.4,6.45,84,1041.3
"1797","FL",2000,8,81.7,91.8,-5.18,5.28,24,298.3
"1798","FL",2000,9,79.5,88.3,-4.25,8.48,3,7
"1799","FL",2000,10,70.9,82.6,-4.45,1.86,5,4.6
"1800","FL",2000,11,63.4,75.4,-4.3,2.02,12,210.8
"1801","FL",2000,12,56.7,68.4,-4.44,1.62,15,770.5
"1802","FL",2001,1,53,66.3,-4.47,1.27,48,1172.7
"1803","FL",2001,2,65.2,76.7,-5.22,0.72,38,539.9
"1804","FL",2001,3,64.3,75.3,-4.11,6.52,33,617.4
"1805","FL",2001,4,70,82.6,-4.48,0.99,38,20954
"1806","FL",2001,5,74.9,87.2,-4.69,2.35,53,42451.9
"1807","FL",2001,6,80.1,90.3,-4,8.17,53,3640.6
"1808","FL",2001,7,81.3,90.2,-2.98,9.4,11,482.8
"1809","FL",2001,8,81.4,90.8,-2.71,6.74,9,239.4
"1810","FL",2001,9,77.6,86.3,-0.99,10.41,8,282.3
"1811","FL",2001,10,71.6,81.8,-1.11,2.72,6,34.9
"1812","FL",2001,11,67.7,78.6,-1.41,1.57,5,4.6
"1813","FL",2001,12,64.1,74.5,-2.03,1.35,4,1.5
"1814","FL",2002,1,59.3,70.4,-1.85,3,21,90.5
"1815","FL",2002,2,59.5,71.3,-1.83,2.68,16,816.2
"1816","FL",2002,3,66.6,79.1,-2.1,2.7,22,617.2
"1817","FL",2002,4,73.6,84.7,-2.4,2.41,33,943.3
"1818","FL",2002,5,76.7,88.3,-2.9,2.36,37,677.5
"1819","FL",2002,6,79.6,88.7,0.91,10.19,39,820.8
"1820","FL",2002,7,81.5,90.7,0.99,7.61,12,174.8
"1821","FL",2002,8,81.1,90.4,1.11,7.37,7,177.1
"1822","FL",2002,10,76.2,85.6,0.66,3.72,6,2.1
"1823","FL",2002,11,63.1,74.5,1.27,3.64,7,170.2
"1824","FL",2002,12,57.3,68.7,2.77,6.18,8,6.2
"1825","FL",2003,1,52.2,65,2.21,1.5,23,3038.3
"1826","FL",2003,2,61.2,73.1,2.14,3.79,19,3322.1
"1827","FL",2003,3,69.8,79.6,2.48,6.47,3,915
"1828","FL",2003,4,69.4,80.9,2.15,2.86,31,3518
"1829","FL",2003,5,78.1,88.4,1.87,4.25,30,14838.91
"1830","FL",2003,6,80.1,88.7,2.9,10.7,11,8297.8
"1831","FL",2003,7,81.4,90.3,2.66,7.25,132,3998.1
"1832","FL",2003,8,81.1,89.5,3.07,8.6,34,2712.1
"1833","FL",2003,9,78.9,87.8,-0.15,5.96,57,670.11
"1834","FL",2003,10,73.5,83.4,-0.49,2.69,72,229.1
"1835","FL",2003,11,68.6,79.4,-0.59,2.45,86,671.9
"1836","FL",2003,12,56.1,68.4,-0.56,2.25,170,1218.8
"1837","FL",2004,1,56.8,69.2,-0.63,2.28,385,3173.2
"1838","FL",2004,2,59.3,69.5,0.73,5.25,209,1807
"1839","FL",2004,3,65.7,77.8,-0.95,1.02,541,10227.2
"1840","FL",2004,4,67.4,80.3,-1.1,2.22,531,49548.6099999998
"1841","FL",2004,5,76.3,87.7,-1.95,1.77,406,44947.4099999999
"1842","FL",2004,6,81.3,91.4,-1.73,7.94,630,40779.7
"1843","FL",2004,7,81.8,91.5,-1.97,6.91,340,39381.5
"1844","FL",2004,8,81.4,90.2,0.79,9.85,61,7390.3
"1845","FL",2004,9,79.9,87.6,2.66,12.52,42,631.5
"1846","FL",2004,10,74.5,84.1,-0.47,2.57,77,425.65
"1847","FL",2004,11,67.4,78,-0.52,2.49,100,306.7
"1848","FL",2004,12,58,69,-0.51,2.4,200,1224.45
"1849","FL",2005,1,60,70.9,-0.89,1.76,291,2797.35
"1850","FL",2005,2,60.8,71.9,-1.09,2.47,499,8513.29
"1851","FL",2005,3,63,74,0.68,5.73,328,3976.5
"1852","FL",2005,4,66.7,79.1,1.45,4.96,248,7535.4
"1853","FL",2005,5,74.4,85.2,1.43,3.96,236,2493.15
"1854","FL",2005,6,79.9,88,2.75,11.09,40,384.1
"1855","FL",2005,7,83.3,91.9,-0.07,7.22,116,953.8
"1856","FL",2005,8,83.2,92,-0.1,7.04,108,3755
"1857","FL",2005,9,80.8,90,-0.93,4.29,109,558.8
"1858","FL",2005,10,73.6,82.9,0.35,4.84,116,5211.42000000001
"1859","FL",2005,11,67.3,77.9,0.49,2.88,132,580.76
"1860","FL",2005,12,57,68.1,0.93,3.24,98,814.3
"1861","FL",2006,1,60.8,72.5,-0.56,1.47,377,3281.4
"1862","FL",2006,2,58.3,70.6,-0.14,4.08,331,4176.29999
"1863","FL",2006,3,64.8,77.4,-1.21,0.43,806,12250.43
"1864","FL",2006,4,72.4,84.7,-1.96,1.44,744,13417.59
"1865","FL",2006,5,75.7,87.9,-2.54,2.67,770,91752.8099899998
"1866","FL",2006,6,80.5,90.9,-3.01,5.57,547,95791.3999999999
"1867","FL",2006,7,82,91.8,-3.55,6.27,412,4569.45
"1868","FL",2006,8,82.8,92.3,-3.89,6.76,358,14353.77
"1869","FL",2006,9,79.3,88.9,-4.12,5.25,77,515.34
"1870","FL",2006,10,72.1,83.8,-4.56,1.97,266,1814.41
"1871","FL",2006,11,63.4,74.5,-4.65,1.85,167,8159.13
"1872","FL",2006,12,64.2,74.1,-4.7,3.24,167,1084.51
"1873","FL",2007,1,61.3,71.3,-4.57,2.53,137,1896.8
"1874","FL",2007,2,58.1,70,-4.45,2.41,470,56532.91
"1875","FL",2007,3,66.3,78.7,-5.02,1.24,729,18831.7
"1876","FL",2007,4,68.4,80.9,-4.92,2.15,531,82045.0099999999
"1877","FL",2007,5,74.9,86.8,-5.54,1.37,884,56953.0899899997
"1878","FL",2007,6,80,90.2,-5.52,6.11,577,245901.530000001
"1879","FL",2007,7,82.4,91.9,-5.4,7.5,506,32442.84999
"1880","FL",2007,8,83.7,93.3,-6.22,4.94,233,8470.30001
"1881","FL",2007,9,80.5,89.6,-6.01,6.2,137,4294.95
"1882","FL",2007,10,76.2,84.6,-5.19,5.64,53,9619.8
"1883","FL",2007,11,64.8,76.6,-5.37,1.16,107,1408.3
"1884","FL",2007,12,64.4,75.2,-5.53,2.47,115,712.5
"1885","FL",2008,1,58.3,69.2,-5.08,2.85,187,1949.9
"1886","FL",2008,2,63,75.1,-4.47,4.13,292,20820.35
"1887","FL",2008,3,64.7,76.5,-4.16,3.39,270,4073.35
"1888","FL",2008,4,69.5,81.1,-3.61,3.41,262,5616.77
